"W1","W2","W3","W4","Y"
0,2.44607687694952,1,0.897607917198911,1
1,4.55393917858601,1,0.712135861627758,1
1,1.90607985015959,2,0.327426167204976,0
1,0.106945062289014,0,0.767855848185718,1
0,4.89499568473548,0,0.68311175564304,0
1,2.36463235807605,0,0.37160017946735,0
1,4.88900994416326,2,0.436223927652463,0
0,3.99951758445241,0,0.52435652539134,0
0,3.28883141977713,3,0.211552914930508,0
0,0.646391737973318,0,0.345573047408834,0
0,2.06845237407833,1,0.582376862410456,1
0,4.68862949404866,0,0.642568294424564,1
0,4.41001956700347,1,0.413007763912901,0
0,2.25847997702658,1,0.117904951330274,0
0,3.68842279072851,1,0.64432047191076,1
0,3.1221135170199,0,0.639422554988414,0
0,1.42250034492463,0,0.401805023429915,1
0,0.596381509676576,2,0.552961219102144,1
0,1.23289136681706,1,0.712408343097195,1
1,0.437690474791452,2,0.0907052597030997,0
1,3.78892401000485,1,0.209321864647791,1
1,4.52641875599511,1,0.0989973226096481,0
0,0.399002369958907,0,0.603455734439194,0
0,4.18239824473858,0,0.917526324512437,0
1,4.69966711010784,1,0.839133561123163,1
0,4.69068667269312,0,0.446731701260433,0
1,0.768972829682752,1,0.929717065999284,1
0,2.96478769741952,2,0.92171893059276,0
0,4.20557139441371,0,0.711859003873542,0
1,1.00492066936567,3,0.214671981520951,1
1,2.84516580635682,1,0.60283859516494,1
0,3.90179216396064,2,0.99981665587984,0
1,2.35957520315424,2,0.209921259898692,0
0,2.97145304386504,0,0.210788156371564,0
1,4.95014633284882,2,0.942116161575541,0
0,4.60136103676632,0,0.25124684209004,0
0,1.05982353095897,1,0.805075209820643,0
1,2.99022680497728,0,0.0327881034463644,0
0,2.61878541321494,0,0.246263902168721,0
0,3.11617293045856,1,0.594862987287343,0
0,0.557792246108875,0,0.386382488301024,0
0,2.73885462782346,1,0.442016712157056,1
0,0.292651846539229,0,0.185259424615651,0
0,2.05370259587653,1,0.334815612761304,0
1,4.32454558205791,1,0.422175327083096,0
0,4.26226763171144,0,0.0706015226896852,1
0,0.13144958182238,1,0.951471267966554,0
0,0.513968706363812,1,0.601903934963048,0
1,1.83750748750754,0,0.653281064005569,1
0,3.0971192358993,0,0.574517668224871,0
0,0.490000789286569,0,0.168519027996808,0
0,4.15315333637409,2,0.883912231540307,0
0,3.3286443236284,1,0.76770074875094,0
1,3.11835829401389,2,0.459341824054718,0
1,2.81401414424181,0,0.482129067881033,1
1,2.0353969745338,3,0.1471592921298,0
0,2.12502462673001,1,0.384597539436072,1
1,1.79569570929743,2,0.131631734548137,0
1,1.6191664733924,0,0.384849346708506,0
0,0.44327707728371,1,0.910875277360901,0
0,2.22641266533174,1,0.702821540646255,0
0,3.45524276257493,1,0.705497015966102,0
0,3.65561479935423,0,0.655371492728591,0
0,0.74815088417381,0,0.664415657054633,0
0,1.16606827359647,0,0.991595425875857,0
0,2.9908596246969,0,0.958070929860696,0
1,0.576268377481028,1,0.35402976279147,0
